objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll011,file11.jpg,Letters etched in brick,"Hughes, Kelly",,Photograph of a close up brick wall with letters carved in bricks,"fixed artifact,etching,letter(s),outside location,outside wall,brick,yellow","Guelph, Ontario","43.53330157370188, -80.2591607",-80.2591607,,,Image;StillImage,image/jpeg,eng,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/
coll012,file12.jpg,Initials B.N. etched in brick ,"Hughes, Kelly",,Photograph of a close up brick wall with initials carved in bricks,"fixed artifact,etching,initial(s),outside location,outside wall,brick,yellow","Guelph, Ontario","43.53330157370188, -80.2591607",-80.2591607,,,Image;StillImage,image/jpeg,eng,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/
coll013,file13.jpg,Initials B.N. etched in brick ,"Hughes, Kelly",,Photograph of a close up brick wall with initials carved in bricks,"fixed artifact,etching,initial(s),outside location,outside wall,brick,yellow","Guelph, Ontario","43.53330157370188, -80.2591607",-80.2591607,,,Image;StillImage,image/jpeg,eng,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/
coll014,file14.jpg,Initials R.T. etched in brick,"Hughes, Kelly",,Photograph of a close up brick wall with initials carved in bricks,"fixed artifact,etching,initial(s),outside location,outside wall,brick,yellow","Guelph, Ontario","43.53330157370188, -80.2591607",-80.2591607,,,Image;StillImage,image/jpeg,eng,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/
coll015,file15.jpg,Initials E.i placed in concrete ,"Hughes, Kelly",,Photograph of a concrete pathway with initials placed in concrete,"fixed artifact,outside location,path,concrete","Guelph, Ontario","43.53330157370188, -80.2591607",-80.2591607,,,Image;StillImage,image/jpeg,eng,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/
coll016,file16.jpg,Drips of aqua blue paint on tellow brick ,"Hughes, Kelly",,Photograph of a yellow brick wall and window showing remnants of past aqua paint ,"fixed artifact, glass, aluminium,paint,outside location,outside wall,brick,yellow","Guelph, Ontario","43.53330157370188, -80.2591607",-80.2591607,,,Image;StillImage,image/jpeg,eng,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/
coll017,file17.jpg,Name Lily etched in brick,"Hughes, Kelly",2009,Photograph of a close up brick wall with the name Lily carved in bricks,"fixed artifact,etching,name(s),outside location,outside wall,brick,yellow","Guelph, Ontario","43.53330157370188, -80.2591607",-80.2591607,,,Image;StillImage,image/jpeg,eng,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/
coll018,file18.jpg,Name Henry etched in brick,"Hughes, Kelly",2009,Photograph of a close up brick wall with the name Henry carved in bricks,"fixed artifact,etching,name(s),outside location,outside wall,brick,yellow","Guelph, Ontario","43.53330157370188, -80.2591607",-80.2591607,,,Image;StillImage,image/jpeg,eng,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/
coll019,file19.jpg,Name Nate etched in brick,"Hughes, Kelly",2009,Photograph of a close up brick wall with the name Nate carved in bricks,"fixed artifact,etching,name(s),outside location,outside wall,brick,yellow","Guelph, Ontario","43.53330157370188, -80.2591607",-80.2591607,,,Image;StillImage,image/jpeg,eng,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/
coll020,file20.jpg,Fragment of linoleum,"Hughes, Kelly",1940,Photograph of a fragment of linoleum patterned to resemble a persian rug with a quarter placed beside it for scale,"movable artifact,linoleum,red,patterned,fragment,bedroom,floor","Guelph, Ontario","43.53330157370188, -80.2591607",-80.2591607,,,Image;StillImage,image/jpeg,eng,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/
coll021,file21.jpg,Window latch,"Hughes, Kelly",,Photograph of a rusty window latch,"movable object,window latch,metal","Guelph, Ontario","43.53330157370188, -80.2591607",-80.2591607,,,Image;StillImage,image/jpeg,eng,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/
coll022,file22.jpg,Fragment of linoleum,"Hughes, Kelly",1940,Photograph of a fragment of linoleum patterned to resemble a persian rug,"movable artifact,linoleum,red,patterned,fragment,bedrom,floor","Guelph, Ontario","43.53330157370188, -80.2591607",-80.2591607,,,Image;StillImage,image/jpeg,eng,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/
coll023,file23.jpg,Three vintage glass marbles,"Hughes, Kelly",,Photograph of three vintage marbles,"moveable artifact,glass,marble,garden,yellow,green","Guelph, Ontario","43.53330157370188, -80.2591607",-80.2591607,,,Image;StillImage,image/jpeg,eng,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/
coll024,file24.jpg,Four vintage glass marbles ,"Hughes, Kelly",,Photograph of four vintage marbles,"moveable artifact,glass,marble,garden,yellow,green,orange,white","Guelph, Ontario","43.53330157370188, -80.2591607",-80.2591607,,,Image;StillImage,image/jpeg,eng,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/
coll025,file25.jpg,Shell casing with maker stamp,"Hughes, Kelly",1890,Photograph of a shell casing showing the maker stamp,"moveable artifact,shell casing,metal,vulcan,garden,1890","Guelph, Ontario","43.53330157370188, -80.2591607",-80.2591607,,,Image;StillImage,image/jpeg,eng,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/
